Name:;Daten Ger. INSTR 04.09.2020 14:34:57
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:34:58
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
1;04.09.2020 14:34:58;3,1859396;0;188,33665;0;5,8655931;0;24,480265;0;412,76191;0;496,65543;0;527,3757;0;505,1943;0;403,81284;0;0;0
2;04.09.2020 14:34:59;3,1849142;0;220,07537;0;5,8593921;0;24,479952;0;412,01927;0;496,70096;0;528,42803;0;505,91257;0;404,57401;0;0;0
3;04.09.2020 14:35:00;2,983013;0;203,93775;0;5,8656765;0;24,481724;0;412,97416;0;495,7633;0;529,12602;0;506,48711;0;405,16877;0;0;0
4;04.09.2020 14:35:01;2,7326193;0;208,18264;0;5,8560779;0;24,46953;0;413,33224;0;494,63357;0;529,60387;0;506,8771;0;405,95393;0;0;0
5;04.09.2020 14:35:02;2,7318646;0;214,86025;0;5,8512838;0;24,469009;0;411,06439;0;490,76774;0;529,23342;0;506,71286;0;406,47715;0;0;0
6;04.09.2020 14:35:03;2,6467206;0;181,0775;0;5,8465314;0;24,47026;0;409,43317;0;490,41913;0;528,27234;0;506,07681;0;407,38118;0;0;0
7;04.09.2020 14:35:04;2,5033358;0;108,54148;0;5,8465314;0;24,469739;0;410,50742;0;500,84141;0;528,22937;0;505,85106;0;407,69045;0;0;0
8;04.09.2020 14:35:05;2,3617103;0;123,91784;0;5,8513776;0;24,469947;0;411,40924;0;517,64938;0;532,70729;0;507,82092;0;408,52316;0;0;0
9;04.09.2020 14:35:06;2,1121232;0;176,78122;0;5,8496267;0;24,470155;0;418,25236;0;500,97231;0;535,30597;0;510,52976;0;409,21324;0;0;0
10;04.09.2020 14:35:07;2,0238407;0;168,73079;0;5,8561092;0;24,48016;0;421,52803;0;490,38214;0;533,38381;0;510,87854;0;409,59382;0;0;0
11;04.09.2020 14:35:08;1,991941;0;169,66276;0;5,8566928;0;24,482349;0;420,61298;0;487,11956;0;530,54886;0;509,52422;0;410,11704;0;0;0
12;04.09.2020 14:35:09;1,9830253;0;151,98198;0;5,8613305;0;24,481515;0;415,08269;0;487,19923;0;528,13811;0;507,57466;0;410,68803;0;0;0
13;04.09.2020 14:35:10;1,8878569;0;174,57361;0;5,8662497;0;24,490582;0;417,56267;0;487,61615;0;526,32336;0;505,99459;0;411,16393;0;0;0
14;04.09.2020 14:35:11;1,6759624;0;175,29397;0;5,8704914;0;24,483495;0;417,64233;0;489,59674;0;525,27097;0;505,05077;0;411,30656;0;0;0
