Name:;Daten Ger. INSTR 04.09.2020 14:18:43
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:18:43
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
1;04.09.2020 14:18:43;0,68122035;0;197,79479;0;5,9690098;0;24,125813;0;160,24217;0;194,48899;0;197,71954;0;188,25495;0;155,68221;0;0;0
2;04.09.2020 14:18:44;0,79245565;0;184,12028;0;5,9654455;0;24,124563;0;159,27405;0;195,05955;0;198,25647;0;188,84999;0;155,9677;0;0;0
3;04.09.2020 14:18:45;0,88499555;0;178,20881;0;5,9654977;0;24,119977;0;160,77268;0;195,70836;0;198,95981;0;189,54775;0;156,77664;0;0;0
4;04.09.2020 14:18:46;0,9157087;0;198,48214;0;5,9690203;0;24,135297;0;158,63742;0;196,3586;0;199,75978;0;190,26602;0;157,58558;0;0;0
5;04.09.2020 14:18:47;0,9748447;0;214,68466;0;5,9655498;0;24,123833;0;162,58955;0;197,00315;0;200,51683;0;190,94308;0;158,18011;0;0;0
6;04.09.2020 14:18:48;1,100466;0;200,6012;0;5,9617562;0;24,125501;0;162,64249;0;197,66618;0;201,37593;0;191,51781;0;158,77488;0;0;0
7;04.09.2020 14:18:49;1,2847079;0;205,58446;0;5,9700416;0;24,125397;0;164,15434;0;198,31927;0;202,12761;0;192,2769;0;159,72668;0;0;0
8;04.09.2020 14:18:50;1,5012504;0;195,46749;0;5,9594529;0;24,136861;0;161,7805;0;198,95243;0;202,75579;0;192,81062;0;160,65448;0;0;0
9;04.09.2020 14:18:51;1,5868003;0;214,63289;0;5,9556698;0;24,136027;0;163,02716;0;199,6112;0;203,28735;0;193,38515;0;161,27301;0;0;0
10;04.09.2020 14:18:52;1,5627649;0;206,46127;0;5,9545963;0;24,147699;0;163,69026;0;200,26286;0;203,91554;0;194,04171;0;161,86777;0;0;0
11;04.09.2020 14:18:53;1,4667587;0;183,8175;0;5,9545755;0;24,13092;0;156,07791;0;200,9131;0;204,76385;0;194,71897;0;162,96198;0;0;0
12;04.09.2020 14:18:54;1,3164462;0;200,28605;0;5,9508966;0;24,133213;0;158,23964;0;201,56476;0;205,49944;0;195,51926;0;163,41411;0;0;0
13;04.09.2020 14:18:55;1,2679018;0;213,91402;0;5,9525536;0;24,134672;0;163,17299;0;202,22211;0;206,12225;0;196,1143;0;164,437;0;0;0
14;04.09.2020 14:18:56;1,2118574;0;177,30085;0;5,9594217;0;24,128523;0;159,5923;0;202,89795;0;206,7558;0;196,70934;0;165,22217;0;0;0
