Name:;Daten Ger. INSTR 07.09.2020 11:51:36
Verantwortlich:;sat
Kommentare:;
Datum der Datenerfassung:;07.09.2020 11:51:36
Messgerät:;34970A;Adresse:;ASRL3::INSTR;Module:;3;Steckplatz1:;34901A;Steckplatz2:;34901A;Steckplatz3:;34901A
Kanäle gesamt:;31
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;T_WÜT_sek_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
102;T_WÜT_prim_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
103;T_WÜT_sek_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
104;T_WÜT_prim_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
106;T_Steigrohr_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
107;T_WÜT_Speicher_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
108;T_WÜT_Speicher_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
110;T_Heizer_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
112;T_Heizer_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
121;MID_blau;Gleichstrom;Auto;5,5;DC Current#1#0,016#Auto#0,001;True;30;0;;Aus;0;1;Alarm 1
122;MID orange;Gleichstrom;Auto;5,5;DC Current#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
201;T_Lanze_6cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
202;T_Lanze_12cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
203;T_Lanze_18cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
204;T_Lanze_24cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
205;T_Lanze_30cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
206;T_Lanze_36cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
207;T_Lanze_42cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
208;T_Lanze_48cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
209;T_Lanze_54cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
210;T_Lanze_60cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
211;T_Lanze_66cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
212;T_Lanze_72cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
213;T_Lanze_78cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
214;T_Lanze_84cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
215;T_Lanze_90cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
216;T_Lanze_96cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
217;T_Lanze_102cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
218;T_Lanze_108cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
219;T_Lanze_114cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
220;T_Lanze_120cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <T_WÜT_sek_ein> (C);Alarm 101;102 <T_WÜT_prim_aus> (C);Alarm 102;103 <T_WÜT_sek_aus> (C);Alarm 103;104 <T_WÜT_prim_ein> (C);Alarm 104;106 <T_Steigrohr_aus> (C);Alarm 106;107 <T_WÜT_Speicher_ein> (C);Alarm 107;108 <T_WÜT_Speicher_aus> (C);Alarm 108;110 <T_Heizer_ein> (C);Alarm 110;112 <T_Heizer_aus> (C);Alarm 112;121 <MID_blau>;Alarm 121;122 <MID orange>;Alarm 122;201 <T_Lanze_6cm> (C);Alarm 201;202 <T_Lanze_12cm> (C);Alarm 202;203 <T_Lanze_18cm> (C);Alarm 203;204 <T_Lanze_24cm> (C);Alarm 204;205 <T_Lanze_30cm> (C);Alarm 205;206 <T_Lanze_36cm> (C);Alarm 206;207 <T_Lanze_42cm> (C);Alarm 207;208 <T_Lanze_48cm> (C);Alarm 208;209 <T_Lanze_54cm> (C);Alarm 209;210 <T_Lanze_60cm> (C);Alarm 210;211 <T_Lanze_66cm> (C);Alarm 211;212 <T_Lanze_72cm> (C);Alarm 212;213 <T_Lanze_78cm> (C);Alarm 213;214 <T_Lanze_84cm> (C);Alarm 214;215 <T_Lanze_90cm> (C);Alarm 215;216 <T_Lanze_96cm> (C);Alarm 216;217 <T_Lanze_102cm> (C);Alarm 217;218 <T_Lanze_108cm> (C);Alarm 218;219 <T_Lanze_114cm> (C);Alarm 219;220 <T_Lanze_120cm> (C);Alarm 220
1;07.09.2020 11:51:36;35,184;0;55,127;0;31,302;0;62,377;0;32,873;0;25,779;0;23,88;0;8,978;0;62,274;0;0,001632369;0;0,091143365;0;25,087;0;24,391;0;24,775;0;24,871;0;25,196;0;25,092;0;23,853;0;25,09;0;25,011;0;24,655;0;24,989;0;24,716;0;24,681;0;24,943;0;24,776;0;24,739;0;24,423;0;23,933;0;24,135;0;23,836;0
2;07.09.2020 11:51:41;35,31;0;54,884;0;31,541;0;62,635;0;32,871;0;25,751;0;23,901;0;8,57;0;62,701;0;0,001633584;0;0,09130012;0;25,095;0;24,351;0;24,729;0;24,907;0;25,153;0;25,054;0;23,815;0;25,131;0;25,073;0;24,683;0;24,986;0;24,683;0;24,645;0;24,917;0;24,75;0;24,683;0;24,42;0;23,936;0;24,125;0;23,819;0
3;07.09.2020 11:51:46;35,429;0;54,805;0;31,789;0;62,462;0;32,881;0;25,733;0;23,885;0;8,224;0;61,737;0;0,001636014;0;0,09096335;0;25,138;0;24,361;0;24,688;0;24,871;0;25,127;0;25,052;0;23,779;0;25,088;0;25,011;0;24,64;0;24,953;0;24,693;0;24,632;0;24,892;0;24,814;0;24,734;0;24,484;0;23,915;0;24,117;0;23,813;0
4;07.09.2020 11:51:51;35,58;0;55,305;0;32,006;0;62,212;0;32,878;0;25,728;0;23,897;0;7,877;0;62,816;0;0,001624473;0;0,090966385;0;25,11;0;24,366;0;24,706;0;24,853;0;25,094;0;25,031;0;23,749;0;25,093;0;25,004;0;24,574;0;24,895;0;24,709;0;24,637;0;24,877;0;24,765;0;24,734;0;24,525;0;23,941;0;24,178;0;23,905;0
5;07.09.2020 11:51:56;35,642;0;55,068;0;32,25;0;62,034;0;32,871;0;25,69;0;23,882;0;7,671;0;62,506;0;0,001626294;0;0,09092492;0;25,064;0;24,404;0;24,597;0;24,843;0;25,066;0;25,067;0;23,749;0;25,095;0;25,032;0;24,66;0;24,951;0;24,65;0;24,579;0;24,798;0;24,661;0;24,729;0;24,525;0;23,921;0;24,186;0;23,974;0
6;07.09.2020 11:52:01;28,668;0;55,6;0;32,523;0;61,947;0;32,876;0;25,692;0;23,869;0;7,395;0;60,805;0;0,001628724;0;0,091365855;0;25,001;0;24,409;0;24,681;0;24,902;0;25,102;0;25,031;0;23,685;0;25,09;0;25,073;0;24,62;0;24,984;0;24,688;0;24,574;0;24,736;0;24,676;0;24,711;0;24,535;0;23,908;0;24,181;0;23,992;0
7;07.09.2020 11:52:06;36,6;0;55,054;0;32,748;0;61,858;0;32,886;0;25,704;0;23,873;0;7,121;0;60,73;0;0,001629939;0;0,09119494;0;24,949;0;24,4;0;24,647;0;24,867;0;25,126;0;24,98;0;23,694;0;25,099;0;25,005;0;24,729;0;25,034;0;24,718;0;24,642;0;24,86;0;24,731;0;24,776;0;24,432;0;23,823;0;24,177;0;23,986;0
8;07.09.2020 11:52:11;38,784;0;54,279;0;32,958;0;61,688;0;32,891;0;25,672;0;23,876;0;6,92;0;61,264;0;0,001630548;0;0,090747945;0;24,995;0;24,497;0;24,619;0;24,845;0;25,071;0;24,99;0;23,751;0;25,102;0;25,036;0;24,661;0;25,028;0;24,787;0;24,698;0;24,899;0;24,771;0;24,744;0;24,371;0;23,846;0;24,17;0;23,989;0
9;07.09.2020 11:52:16;39,439;0;54,779;0;33,68;0;61,355;0;32,886;0;25,67;0;23,865;0;6,746;0;60,116;0;0,001634193;0;0,09085413;0;25,007;0;24,325;0;24,567;0;24,757;0;25,044;0;24,95;0;23,756;0;25,038;0;25,012;0;24,721;0;25,07;0;24,79;0;24,668;0;24,945;0;24,783;0;24,736;0;24,412;0;23,877;0;24,139;0;23,953;0
10;07.09.2020 11:52:21;24,769;0;52,781;0;56,956;0;61,142;0;32,906;0;25,647;0;23,865;0;6,741;0;59,425;0;0,001638444;0;0,09165509;0;24,961;0;24,383;0;24,54;0;24,785;0;25,049;0;24,962;0;23,761;0;25,037;0;25,063;0;24,697;0;25,089;0;24,835;0;24,743;0;25,049;0;24,905;0;24,893;0;24,587;0;23,916;0;24,098;0;23,891;0
11;07.09.2020 11:52:26;24,136;0;50,553;0;59,032;0;60,913;0;32,893;0;25,608;0;23,86;0;6,874;0;59,699;0;0,001638444;0;0,091560025;0;24,938;0;24,423;0;24,511;0;24,784;0;25,048;0;24,939;0;23,707;0;25,05;0;25,054;0;24,753;0;25,136;0;24,813;0;24,747;0;25,072;0;24,976;0;24,949;0;24,61;0;23,901;0;24,151;0;23,924;0
12;07.09.2020 11:52:31;23,68;0;50,621;0;59,207;0;60,508;0;32,924;0;25,624;0;23,84;0;7,017;0;59,562;0;0,001634193;0;0,091739025;0;24,879;0;24,337;0;24,545;0;24,804;0;25,068;0;24,983;0;23,694;0;25,08;0;25,041;0;24,732;0;25,139;0;24,816;0;24,762;0;25,079;0;25,004;0;24,995;0;24,702;0;24,026;0;24,215;0;23,932;0
13;07.09.2020 11:52:36;23,06;0;48,304;0;58,403;0;60,221;0;32,911;0;25,603;0;23,842;0;7,459;0;59,51;0;0,001630548;0;0,09222142;0;25,019;0;24,332;0;24,649;0;24,868;0;25,063;0;24,983;0;23,674;0;25,078;0;25,049;0;24,725;0;25,157;0;24,823;0;24,783;0;25,09;0;24,976;0;24,985;0;24,694;0;24,052;0;24,286;0;24,08;0
14;07.09.2020 11:52:41;22,247;0;51,67;0;57,166;0;59,971;0;32,893;0;25,606;0;23,855;0;8,907;0;59,662;0;0,001629939;0;0,092008035;0;25,55;0;24,834;0;25,098;0;25,246;0;25,295;0;25,317;0;23,755;0;25,187;0;25,095;0;24,732;0;25,18;0;24,811;0;24,752;0;25,046;0;24,988;0;24,929;0;24,661;0;23,996;0;24,256;0;23,998;0
15;07.09.2020 11:52:46;21,777;0;52,509;0;55,581;0;59,737;0;32,919;0;25,583;0;23,842;0;10,798;0;59,789;0;0,001623864;0;0,092014105;0;27,12;0;25,466;0;25,705;0;25,585;0;25,591;0;25,465;0;24,064;0;25,381;0;25,294;0;24,891;0;25,205;0;24,831;0;24,729;0;25,026;0;24,93;0;24,916;0;24,671;0;24,044;0;24,128;0;23,871;0
16;07.09.2020 11:52:51;21,442;0;52,891;0;52,719;0;59,637;0;32,957;0;25,56;0;23,84;0;12,424;0;60,066;0;0,001634193;0;0,091422485;0;26,236;0;25,387;0;25,812;0;25,845;0;26,088;0;25,947;0;24,574;0;25,707;0;25,605;0;25,207;0;25,534;0;25,066;0;24,979;0;25,135;0;25,083;0;25,011;0;24,753;0;24,057;0;24,108;0;23,901;0
17;07.09.2020 11:52:56;21,305;0;52,416;0;50,344;0;59,557;0;32,939;0;25,545;0;23,822;0;13,489;0;59,285;0;0,001631763;0;0,091562045;0;26,542;0;25,474;0;25,684;0;25,643;0;25,953;0;25,885;0;24,528;0;25,794;0;25,561;0;25,212;0;25,557;0;25,157;0;25,188;0;25,339;0;25,134;0;24,98;0;24,684;0;24,003;0;24,098;0;23,924;0
