Name:;Daten Ger. INSTR 07.09.2020 13:13:26
Verantwortlich:;sat
Kommentare:;
Datum der Datenerfassung:;07.09.2020 13:13:26
Messgerät:;34970A;Adresse:;ASRL3::INSTR;Module:;3;Steckplatz1:;34901A;Steckplatz2:;34901A;Steckplatz3:;34901A
Kanäle gesamt:;31
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;T_WÜT_sek_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
102;T_WÜT_prim_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
103;T_WÜT_sek_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
104;T_WÜT_prim_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
106;T_Steigrohr_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
107;T_WÜT_Speicher_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
108;T_WÜT_Speicher_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
110;T_Heizer_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
112;T_Heizer_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
121;MID_blau;Gleichstrom;Auto;5,5;DC Current#1#0,016#Auto#0,001;True;30;0;;Aus;0;1;Alarm 1
122;MID orange;Gleichstrom;Auto;5,5;DC Current#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
201;T_Lanze_6cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
202;T_Lanze_12cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
203;T_Lanze_18cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
204;T_Lanze_24cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
205;T_Lanze_30cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
206;T_Lanze_36cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
207;T_Lanze_42cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
208;T_Lanze_48cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
209;T_Lanze_54cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
210;T_Lanze_60cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
211;T_Lanze_66cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
212;T_Lanze_72cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
213;T_Lanze_78cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
214;T_Lanze_84cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
215;T_Lanze_90cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
216;T_Lanze_96cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
217;T_Lanze_102cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
218;T_Lanze_108cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
219;T_Lanze_114cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
220;T_Lanze_120cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <T_WÜT_sek_ein> (C);Alarm 101;102 <T_WÜT_prim_aus> (C);Alarm 102;103 <T_WÜT_sek_aus> (C);Alarm 103;104 <T_WÜT_prim_ein> (C);Alarm 104;106 <T_Steigrohr_aus> (C);Alarm 106;107 <T_WÜT_Speicher_ein> (C);Alarm 107;108 <T_WÜT_Speicher_aus> (C);Alarm 108;110 <T_Heizer_ein> (C);Alarm 110;112 <T_Heizer_aus> (C);Alarm 112;121 <MID_blau>;Alarm 121;122 <MID orange>;Alarm 122;201 <T_Lanze_6cm> (C);Alarm 201;202 <T_Lanze_12cm> (C);Alarm 202;203 <T_Lanze_18cm> (C);Alarm 203;204 <T_Lanze_24cm> (C);Alarm 204;205 <T_Lanze_30cm> (C);Alarm 205;206 <T_Lanze_36cm> (C);Alarm 206;207 <T_Lanze_42cm> (C);Alarm 207;208 <T_Lanze_48cm> (C);Alarm 208;209 <T_Lanze_54cm> (C);Alarm 209;210 <T_Lanze_60cm> (C);Alarm 210;211 <T_Lanze_66cm> (C);Alarm 211;212 <T_Lanze_72cm> (C);Alarm 212;213 <T_Lanze_78cm> (C);Alarm 213;214 <T_Lanze_84cm> (C);Alarm 214;215 <T_Lanze_90cm> (C);Alarm 215;216 <T_Lanze_96cm> (C);Alarm 216;217 <T_Lanze_102cm> (C);Alarm 217;218 <T_Lanze_108cm> (C);Alarm 218;219 <T_Lanze_114cm> (C);Alarm 219;220 <T_Lanze_120cm> (C);Alarm 220
1;07.09.2020 13:13:26;50,732;0;53,672;0;43,318;0;46,239;0;30,21;0;25,812;0;24,214;0;37,786;0;25,665;0;0,021287658;0;0,09268561;0;24,416;0;24,61;0;24,612;0;24,658;0;24,719;0;24,753;0;24,663;0;24,834;0;25,423;0;26,206;0;28,795;0;31,418;0;32,575;0;32,688;0;32,679;0;32,556;0;32,548;0;32,551;0;32,462;0;26,99;0
2;07.09.2020 13:13:31;50,802;0;53,667;0;43,328;0;46,224;0;30,172;0;25,863;0;24,26;0;37,882;0;25,986;0;0,020764596;0;0,092751345;0;24,421;0;24,619;0;24,624;0;24,698;0;24,719;0;24,748;0;24,654;0;24,859;0;25,439;0;26,237;0;28,791;0;31,405;0;32,552;0;32,664;0;32,689;0;32,547;0;32,539;0;32,534;0;32,447;0;27,07;0
3;07.09.2020 13:13:36;50,812;0;53,657;0;43,278;0;46,178;0;30,159;0;26,115;0;24,342;0;38,01;0;33,38;0;0,021118773;0;0,092902035;0;24,442;0;24,65;0;24,62;0;24,674;0;24,746;0;24,748;0;24,672;0;24,836;0;25,45;0;26,223;0;28,839;0;31,403;0;32,548;0;32,656;0;32,657;0;32,567;0;32,531;0;32,524;0;32,417;0;27,134;0
4;07.09.2020 13:13:41;50,829;0;53,619;0;43,296;0;46,151;0;30,156;0;26,373;0;24,395;0;38,209;0;40,078;0;0,020504583;0;0,093028445;0;24,424;0;24,634;0;24,624;0;24,667;0;24,714;0;24,758;0;24,684;0;24,854;0;25,437;0;26,266;0;28,898;0;31,435;0;32,537;0;32,654;0;32,674;0;32,549;0;32,521;0;32,521;0;32,322;0;27,131;0
5;07.09.2020 13:13:46;50,804;0;53,637;0;43,258;0;46,138;0;30,111;0;26,696;0;24,477;0;38,431;0;48,734;0;0,020294994;0;0,09299406;0;24,403;0;24,605;0;24,606;0;24,674;0;24,716;0;24,742;0;24,668;0;24,837;0;25,465;0;26,25;0;28,893;0;31,452;0;32,459;0;32,668;0;32,669;0;32,569;0;32,551;0;32,538;0;32,309;0;27,441;0
6;07.09.2020 13:13:51;50,772;0;53,597;0;43,245;0;46,108;0;30,088;0;26,796;0;24,558;0;38,519;0;55,044;0;0,019889787;0;0,092913155;0;24,426;0;24,615;0;24,62;0;24,663;0;24,726;0;24,755;0;24,665;0;24,842;0;25,466;0;26,269;0;28,856;0;31,458;0;32,43;0;32,63;0;32,659;0;32,535;0;32,533;0;32,538;0;32,298;0;27,321;0
7;07.09.2020 13:13:56;50,779;0;53,592;0;43,243;0;46,09;0;30,067;0;26,824;0;24,609;0;38,598;0;55,284;0;0,019277418;0;0,092696735;0;24,406;0;24,634;0;24,616;0;24,672;0;24,709;0;24,74;0;24,682;0;24,838;0;25,473;0;26,278;0;28,86;0;31,474;0;32,412;0;32,613;0;32,674;0;32,542;0;32,532;0;32,537;0;32,305;0;27,356;0
8;07.09.2020 13:14:01;50,722;0;53,567;0;43,23;0;46,06;0;30,016;0;26,88;0;24,688;0;38,603;0;58,927;0;0,019318122;0;0,093050695;0;24,395;0;24,615;0;24,626;0;24,686;0;24,724;0;24,748;0;24,678;0;24,857;0;25,481;0;26,268;0;28,893;0;31,526;0;32,436;0;32,627;0;32,667;0;32,559;0;32,533;0;32,536;0;32,301;0;27,202;0
9;07.09.2020 13:14:06;50,712;0;53,559;0;43,19;0;46,022;0;30,003;0;27,443;0;24,755;0;38,603;0;56,063;0;0,019113999;0;0,09241458;0;24,37;0;24,619;0;24,605;0;24,654;0;24,72;0;24,758;0;24,683;0;24,844;0;25,5;0;26,256;0;28,843;0;31,51;0;32,468;0;32,616;0;32,658;0;32,555;0;32,535;0;32,537;0;32,292;0;27,152;0
10;07.09.2020 13:14:11;50,707;0;53,517;0;43,17;0;45,992;0;29,991;0;28,813;0;24,813;0;38,582;0;55,668;0;0,018560556;0;0,092655275;0;24,38;0;24,612;0;24,629;0;24,681;0;24,721;0;24,76;0;24,683;0;24,852;0;25,498;0;26,271;0;28,783;0;31,465;0;32,485;0;32,605;0;32,636;0;32,536;0;32,52;0;32,536;0;32,268;0;27,245;0
11;07.09.2020 13:14:16;50,694;0;53,514;0;43,177;0;45,987;0;29,96;0;30,84;0;24,864;0;38,555;0;55,159;0;0,018864915;0;0,092377165;0;24,367;0;24,606;0;24,618;0;24,672;0;24,72;0;24,76;0;24,693;0;24,846;0;25,479;0;26,291;0;28,81;0;31,431;0;32,501;0;32,611;0;32,645;0;32,555;0;32,535;0;32,512;0;32,297;0;27,231;0
12;07.09.2020 13:14:21;50,682;0;53,477;0;43,149;0;45,964;0;29,94;0;33,147;0;24,946;0;38,527;0;54,827;0;0,018007116;0;0,092387275;0;24,347;0;24,603;0;24,607;0;24,661;0;24,712;0;24,748;0;24,693;0;24,854;0;25,502;0;26,288;0;28,842;0;31,428;0;32,484;0;32,655;0;32,633;0;32,583;0;32,563;0;32,519;0;32,323;0;27,346;0
13;07.09.2020 13:14:26;50,654;0;53,474;0;43,132;0;45,942;0;29,896;0;35,919;0;24,994;0;38,497;0;52,709;0;0,01806969;0;0,09216681;0;24,39;0;24,598;0;24,622;0;24,658;0;24,723;0;24,781;0;24,696;0;24,887;0;25,49;0;26,285;0;28,875;0;31,433;0;32,481;0;32,637;0;32,633;0;32,56;0;32,545;0;32,527;0;32,369;0;27,308;0
14;07.09.2020 13:14:31;50,669;0;53,479;0;43,099;0;45,904;0;29,901;0;38,703;0;25,035;0;38,434;0;54,2;0;0,017574573;0;0,092333675;0;24,385;0;24,631;0;24,599;0;24,656;0;24,717;0;24,765;0;24,681;0;24,856;0;25,479;0;26,239;0;28,937;0;31,418;0;32,52;0;32,621;0;32,612;0;32,54;0;32,519;0;32,525;0;32,354;0;27,252;0
15;07.09.2020 13:14:36;50,629;0;53,444;0;43,089;0;45,886;0;29,871;0;41,042;0;25,071;0;38,393;0;54,547;0;0,017292081;0;0,092241645;0;24,362;0;24,601;0;24,627;0;24,656;0;24,702;0;24,804;0;24,701;0;24,869;0;25,492;0;26,259;0;28,99;0;31,377;0;32,52;0;32,614;0;32,628;0;32,504;0;32,525;0;32,502;0;32,356;0;27,318;0
16;07.09.2020 13:14:41;50,622;0;53,444;0;43,074;0;45,838;0;29,871;0;43,134;0;25,124;0;38,363;0;55,142;0;0,01745307;0;0,092424695;0;24,387;0;24,624;0;24,604;0;24,656;0;24,72;0;24,801;0;24,688;0;24,864;0;25,479;0;26,288;0;28,962;0;31,408;0;32,497;0;32,629;0;32,622;0;32,519;0;32,525;0;32,512;0;32,372;0;27,252;0
17;07.09.2020 13:14:46;50,637;0;53,437;0;43,036;0;45,833;0;29,82;0;44,815;0;25,142;0;38,33;0;57,908;0;0,016623216;0;0,0922821;0;24,395;0;24,598;0;24,609;0;24,661;0;24,738;0;24,786;0;24,693;0;24,877;0;25,482;0;26,313;0;28,898;0;31,436;0;32,537;0;32,611;0;32,607;0;32,504;0;32,499;0;32,502;0;32,379;0;27,214;0
