Name:;Daten Ger. INSTR 07.09.2020 13:36:42
Verantwortlich:;sat
Kommentare:;
Datum der Datenerfassung:;07.09.2020 13:36:43
Messgerät:;34970A;Adresse:;ASRL3::INSTR;Module:;3;Steckplatz1:;34901A;Steckplatz2:;34901A;Steckplatz3:;34901A
Kanäle gesamt:;31
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;T_WÜT_sek_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
102;T_WÜT_prim_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
103;T_WÜT_sek_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
104;T_WÜT_prim_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
106;T_Steigrohr_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
107;T_WÜT_Speicher_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
108;T_WÜT_Speicher_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
110;T_Heizer_ein;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
112;T_Heizer_aus;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
121;MID_blau;Gleichstrom;Auto;5,5;DC Current#1#0,016#Auto#0,001;True;30;0;;Aus;0;1;Alarm 1
122;MID orange;Gleichstrom;Auto;5,5;DC Current#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
201;T_Lanze_6cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
202;T_Lanze_12cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
203;T_Lanze_18cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
204;T_Lanze_24cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
205;T_Lanze_30cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
206;T_Lanze_36cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
207;T_Lanze_42cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
208;T_Lanze_48cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
209;T_Lanze_54cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
210;T_Lanze_60cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
211;T_Lanze_66cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
212;T_Lanze_72cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
213;T_Lanze_78cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
214;T_Lanze_84cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
215;T_Lanze_90cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
216;T_Lanze_96cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
217;T_Lanze_102cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
218;T_Lanze_108cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
219;T_Lanze_114cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
220;T_Lanze_120cm;Temp. (Typ K);Keine;C;Temp (Type K)#1#0,016#Auto#0,001#C#Internal#0#false;False;1;0;C;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <T_WÜT_sek_ein> (C);Alarm 101;102 <T_WÜT_prim_aus> (C);Alarm 102;103 <T_WÜT_sek_aus> (C);Alarm 103;104 <T_WÜT_prim_ein> (C);Alarm 104;106 <T_Steigrohr_aus> (C);Alarm 106;107 <T_WÜT_Speicher_ein> (C);Alarm 107;108 <T_WÜT_Speicher_aus> (C);Alarm 108;110 <T_Heizer_ein> (C);Alarm 110;112 <T_Heizer_aus> (C);Alarm 112;121 <MID_blau>;Alarm 121;122 <MID orange>;Alarm 122;201 <T_Lanze_6cm> (C);Alarm 201;202 <T_Lanze_12cm> (C);Alarm 202;203 <T_Lanze_18cm> (C);Alarm 203;204 <T_Lanze_24cm> (C);Alarm 204;205 <T_Lanze_30cm> (C);Alarm 205;206 <T_Lanze_36cm> (C);Alarm 206;207 <T_Lanze_42cm> (C);Alarm 207;208 <T_Lanze_48cm> (C);Alarm 208;209 <T_Lanze_54cm> (C);Alarm 209;210 <T_Lanze_60cm> (C);Alarm 210;211 <T_Lanze_66cm> (C);Alarm 211;212 <T_Lanze_72cm> (C);Alarm 212;213 <T_Lanze_78cm> (C);Alarm 213;214 <T_Lanze_84cm> (C);Alarm 214;215 <T_Lanze_90cm> (C);Alarm 215;216 <T_Lanze_96cm> (C);Alarm 216;217 <T_Lanze_102cm> (C);Alarm 217;218 <T_Lanze_108cm> (C);Alarm 218;219 <T_Lanze_114cm> (C);Alarm 219;220 <T_Lanze_120cm> (C);Alarm 220
1;07.09.2020 13:36:43;48,889;0;50,97;0;39,344;0;42,179;0;44,976;0;58,449;0;29,446;0;34,228;0;61,233;0;0,11646886;0;0,09097852;0;27,401;0;27,53;0;27,618;0;27,812;0;28,006;0;28,184;0;29,446;0;30,713;0;31,815;0;32,287;0;32,348;0;32,492;0;32,56;0;33,264;0;35,819;0;38,91;0;40,966;0;41,029;0;40,996;0;29,669;0
2;07.09.2020 13:36:48;48,891;0;50,955;0;39,331;0;42,169;0;44,873;0;58,629;0;29,456;0;34,215;0;57,818;0;0,11730722;0;0,09068322;0;27,419;0;27,545;0;27,643;0;27,906;0;28,012;0;28,228;0;29,484;0;30,772;0;31,823;0;32,292;0;32,348;0;32,494;0;32,558;0;33,277;0;36;0;38,98;0;41,006;0;41,193;0;41,082;0;29,911;0
3;07.09.2020 13:36:53;48,871;0;50,942;0;39,324;0;42,161;0;44,956;0;58,721;0;29,479;0;34,21;0;58,71;0;0,11286999;0;0,090315105;0;27,398;0;27,579;0;27,676;0;27,909;0;28,063;0;28,281;0;29,505;0;30,792;0;31,838;0;32,305;0;32,343;0;32,499;0;32,558;0;33,353;0;36,123;0;39,033;0;41,014;0;41,17;0;41,032;0;29,628;0
4;07.09.2020 13:36:58;48,886;0;50,965;0;39,301;0;42,169;0;44,878;0;58,689;0;29,51;0;34,215;0;61,864;0;0,11378124;0;0,09112415;0;27,398;0;27,591;0;27,674;0;27,86;0;28,116;0;28,307;0;29,528;0;30,789;0;31,856;0;32,292;0;32,361;0;32,502;0;32,571;0;33,369;0;36,108;0;39,101;0;41,12;0;41,213;0;41,034;0;29,562;0
5;07.09.2020 13:37:03;48,871;0;50,94;0;39,298;0;42,161;0;44,885;0;58,691;0;29,507;0;34,205;0;58,49;0;0,1160357;0;0,090834915;0;27,488;0;27,591;0;27,689;0;27,886;0;28,106;0;28,32;0;29,55;0;30,795;0;31,856;0;32,305;0;32,348;0;32,497;0;32,545;0;33,376;0;36,058;0;39,217;0;41,148;0;41,193;0;40,969;0;29,439;0
6;07.09.2020 13:37:08;48,864;0;50,947;0;39,306;0;42,138;0;45,006;0;58,821;0;29,535;0;34,169;0;59,629;0;0,11630422;0;0,090809635;0;27,477;0;27,632;0;27,714;0;27,922;0;28,114;0;28,312;0;29,596;0;30,789;0;31,907;0;32,302;0;32,348;0;32,476;0;32,583;0;33,402;0;36,086;0;39,288;0;41,198;0;41,286;0;41,236;0;29,429;0
7;07.09.2020 13:37:13;48,844;0;50,922;0;39,283;0;42,128;0;45,027;0;58,983;0;29,538;0;34,164;0;59,606;0;0,11738984;0;0,091065495;0;27,528;0;27,637;0;27,72;0;27,922;0;28,134;0;28,325;0;29,663;0;30,802;0;31,93;0;32,307;0;32,356;0;32,512;0;32,56;0;33,432;0;36,159;0;39,31;0;41,18;0;41,236;0;41,087;0;29,549;0
8;07.09.2020 13:37:18;48,836;0;50,93;0;39,266;0;42,118;0;45,016;0;58,996;0;29,561;0;34,139;0;57,514;0;0,11692024;0;0,090994705;0;27,521;0;27,665;0;27,76;0;27,97;0;28,195;0;28,335;0;29,703;0;30,833;0;31,922;0;32,292;0;32,353;0;32,514;0;32,576;0;33,488;0;36,277;0;39,24;0;41,233;0;41,195;0;41,178;0;29,422;0
9;07.09.2020 13:37:23;48,834;0;50,915;0;39,271;0;42,123;0;45,014;0;58,861;0;29,584;0;34,144;0;57,744;0;0,1138104;0;0,090920875;0;27,549;0;27,688;0;27,776;0;27,975;0;28,2;0;28,386;0;29,729;0;30,83;0;31,92;0;32,289;0;32,374;0;32,494;0;32,576;0;33,442;0;36,386;0;39,187;0;41,153;0;41,321;0;41,342;0;29,46;0
10;07.09.2020 13:37:28;48,844;0;50,917;0;39,253;0;42,128;0;45,18;0;58,744;0;29,604;0;34,118;0;57,481;0;0,11475082;0;0,090827835;0;27,544;0;27,688;0;27,809;0;28,057;0;28,213;0;28,419;0;29,747;0;30,902;0;31,912;0;32,295;0;32,351;0;32,52;0;32,588;0;33,442;0;36,413;0;39,268;0;41,12;0;41,334;0;41,359;0;29,518;0
11;07.09.2020 13:37:33;48,809;0;50,892;0;39,246;0;42,093;0;45,12;0;58,704;0;29,607;0;34,106;0;57,506;0;0,11640872;0;0,09129506;0;27,564;0;27,729;0;27,827;0;28,057;0;28,21;0;28,442;0;29,782;0;30,945;0;31,968;0;32,307;0;32,361;0;32,517;0;32,599;0;33,47;0;36,464;0;39,356;0;41,309;0;41,314;0;41,337;0;29,753;0
12;07.09.2020 13:37:38;48,819;0;50,87;0;39,223;0;42,083;0;45,044;0;58,596;0;29,648;0;34,08;0;57,469;0;0,11467185;0;0,090625575;0;27,562;0;27,737;0;27,847;0;28,057;0;28,244;0;28,495;0;29,8;0;30,937;0;31,999;0;32,3;0;32,34;0;32,512;0;32,624;0;33,575;0;36,527;0;39,406;0;41,319;0;41,342;0;41,082;0;29,883;0
13;07.09.2020 13:37:43;48,821;0;50,87;0;39,205;0;42,075;0;45,14;0;58,536;0;29,635;0;34,039;0;56,974;0;0,11626716;0;0,090872335;0;27,569;0;27,744;0;27,847;0;28,044;0;28,249;0;28,516;0;29,811;0;30,919;0;31,991;0;32,302;0;32,348;0;32,522;0;32,66;0;33,644;0;36,504;0;39,419;0;41,327;0;41,15;0;41,263;0;30,12;0
14;07.09.2020 13:37:48;48,814;0;50,867;0;39,203;0;42,063;0;45,014;0;58,377;0;29,65;0;34,055;0;58,633;0;0,11594336;0;0,090787385;0;27,615;0;27,798;0;27,89;0;28,077;0;28,241;0;28,534;0;29,854;0;30,955;0;32,001;0;32,307;0;32,358;0;32,532;0;32,647;0;33,669;0;36,466;0;39,499;0;41,301;0;41,216;0;41,072;0;30,416;0
15;07.09.2020 13:37:53;48,794;0;50,842;0;39,19;0;42,055;0;45,064;0;58,169;0;29,668;0;34,016;0;59,462;0;0,11449081;0;0,090817725;0;27,625;0;27,811;0;27,916;0;28,064;0;28,228;0;28,559;0;29,923;0;30,97;0;31,979;0;32,302;0;32,346;0;32,507;0;32,65;0;33,662;0;36,577;0;39,578;0;41,248;0;41,279;0;41,246;0;30,187;0
16;07.09.2020 13:37:58;48,786;0;50,852;0;39,177;0;42,03;0;45,15;0;57,892;0;29,699;0;34,014;0;59,559;0;0,1171681;0;0,09089964;0;27,643;0;27,826;0;27,952;0;28,064;0;28,261;0;28,592;0;29,953;0;31,006;0;31,973;0;32,292;0;32,353;0;32,514;0;32,655;0;33,657;0;36,617;0;39,615;0;41,334;0;41,374;0;41,009;0;30,115;0
17;07.09.2020 13:38:03;48,779;0;50,847;0;39,16;0;42,038;0;45,09;0;57,665;0;29,681;0;34,014;0;60,548;0;0,11500355;0;0,09079345;0;27,666;0;27,818;0;27,975;0;28,105;0;28,315;0;28,62;0;29,956;0;31,07;0;31,958;0;32,323;0;32,34;0;32,492;0;32,667;0;33,708;0;36,655;0;39,6;0;41,296;0;41,165;0;41,299;0;29,743;0
