Name:;Daten Ger. INSTR 04.09.2020 11:46:25
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:46:25
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
1;04.09.2020 11:46:25;15,778;0;105,78048;0;106,475;0;1060,283;0;1824,045;0;2697,0535;0;-0,000474566;0
2;04.09.2020 11:46:26;15,813;0;105,78431;0;106,48352;0;1060,3831;0;1824,3114;0;2695,7642;0;-0,000474141;0
3;04.09.2020 11:46:27;15,852;0;105,78856;0;106,49737;0;1060,5067;0;1824,6204;0;2694,1553;0;-0,000474141;0
4;04.09.2020 11:46:28;15,903;0;105,79356;0;106,51228;0;1060,6505;0;1824,9933;0;2692,1947;0;-0,000473716;0
5;04.09.2020 11:46:29;15,96;0;105,80079;0;106,53039;0;1060,8157;0;1825,4195;0;2689,8612;0;-0,000472867;0
6;04.09.2020 11:46:30;16,021;0;105,80813;0;106,55063;0;1061,0032;0;1825,9203;0;2687,1761;0;-0,000472123;0
7;04.09.2020 11:46:31;16,091;0;105,8177;0;106,57301;0;1061,2162;0;1826,4851;0;2684,0328;0;-0,00047138;0
8;04.09.2020 11:46:32;16,167;0;105,82844;0;106,59964;0;1061,4474;0;1827,1244;0;2680,4526;0;-0,000470743;0
9;04.09.2020 11:46:33;16,246;0;105,84099;0;106,62734;0;1061,7063;0;1827,7637;0;2676,4569;0;-0,000470106;0
10;04.09.2020 11:46:34;16,333;0;105,85492;0;106,65823;0;1061,9886;0;1828,5202;0;2671,9923;0;-0,000468938;0
11;04.09.2020 11:46:35;16,422;0;105,8696;0;106,69233;0;1062,2954;0;1829,362;0;2667,0696;0;-0,000467345;0
12;04.09.2020 11:46:36;16,513;0;105,8864;0;106,72748;0;1062,6267;0;1830,257;0;2661,6567;0;-0,000465858;0
13;04.09.2020 11:46:37;16,613;0;105,90596;0;106,7669;0;1062,9783;0;1831,216;0;2655,775;0;-0,000464372;0
14;04.09.2020 11:46:38;16,714;0;105,92638;0;106,80632;0;1063,3533;0;1832,2283;0;2649,4458;0;-0,000462142;0
