Name:;Daten Ger. INSTR 04.09.2020 11:09:41
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:09:41
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
1;04.09.2020 11:09:41;-5,537;0;108,80384;0;109,46116;0;1090,6805;0;1940,5711;0;1961,7644;0;-0,000113093;0
2;04.09.2020 11:09:42;-5,538;0;108,80597;0;109,46222;0;1090,6859;0;1940,5924;0;1961,7324;0;-0,000112243;0
3;04.09.2020 11:09:43;-5,538;0;108,80384;0;109,46222;0;1090,6901;0;1940,5817;0;1961,6685;0;-0,000112137;0
4;04.09.2020 11:09:44;-5,538;0;108,80704;0;109,46116;0;1090,6944;0;1940,5924;0;1961,6685;0;-0,000112243;0
5;04.09.2020 11:09:45;-5,542;0;108,80704;0;109,46329;0;1090,6965;0;1940,5924;0;1961,6472;0;-0,00011235;0
6;04.09.2020 11:09:46;-5,54;0;108,80917;0;109,46116;0;1090,6976;0;1940,5817;0;1961,6472;0;-0,000112137;0
7;04.09.2020 11:09:47;-5,54;0;108,80917;0;109,46222;0;1090,6976;0;1940,5924;0;1961,6791;0;-0,000112137;0
8;04.09.2020 11:09:48;-5,538;0;108,81023;0;109,46329;0;1090,6976;0;1940,5924;0;1961,7111;0;-0,000112456;0
9;04.09.2020 11:09:49;-5,537;0;108,80917;0;109,46116;0;1090,6933;0;1940,5817;0;1961,7431;0;-0,000112243;0
10;04.09.2020 11:09:50;-5,537;0;108,81023;0;109,46222;0;1090,6923;0;1940,5817;0;1961,7857;0;-0,000112562;0
11;04.09.2020 11:09:51;-5,539;0;108,80917;0;109,46222;0;1090,6901;0;1940,5924;0;1961,839;0;-0,000112243;0
12;04.09.2020 11:09:52;-5,536;0;108,8113;0;109,46116;0;1090,6912;0;1940,6243;0;1961,8603;0;-0,000112456;0
13;04.09.2020 11:09:53;-5,538;0;108,81023;0;109,46329;0;1090,6933;0;1940,635;0;1961,8603;0;-0,000112562;0
14;04.09.2020 11:09:54;-5,538;0;108,8081;0;109,46222;0;1090,6933;0;1940,6243;0;1961,8603;0;-0,000112562;0
15;04.09.2020 11:09:55;-5,535;0;108,8113;0;109,46329;0;1090,6933;0;1940,6457;0;1961,8816;0;-0,000112881;0
16;04.09.2020 11:09:56;-5,536;0;108,81023;0;109,46116;0;1090,6955;0;1940,6243;0;1961,8816;0;-0,000112456;0
17;04.09.2020 11:09:57;-5,537;0;108,80917;0;109,46435;0;1090,6933;0;1940,6243;0;1961,9029;0;-0,000112668;0
18;04.09.2020 11:09:58;-5,535;0;108,81023;0;109,46435;0;1090,6933;0;1940,6457;0;1961,9242;0;-0,000112774;0
19;04.09.2020 11:09:59;-5,535;0;108,80917;0;109,46435;0;1090,6955;0;1940,667;0;1961,9349;0;-0,000112987;0
20;04.09.2020 11:10:00;-5,533;0;108,81023;0;109,46329;0;1090,6944;0;1940,6776;0;1961,9242;0;-0,000113199;0
21;04.09.2020 11:10:01;-5,533;0;108,80917;0;109,46435;0;1090,6955;0;1940,6776;0;1961,9242;0;-0,000112774;0
22;04.09.2020 11:10:02;-5,534;0;108,81023;0;109,46435;0;1090,6976;0;1940,7096;0;1961,9242;0;-0,000112987;0
23;04.09.2020 11:10:03;-5,533;0;108,8113;0;109,46435;0;1090,7018;0;1940,7096;0;1961,9029;0;-0,000112774;0
24;04.09.2020 11:10:04;-5,532;0;108,81343;0;109,46542;0;1090,7029;0;1940,7202;0;1961,9029;0;-0,000114049;0
25;04.09.2020 11:10:05;-5,533;0;108,81236;0;109,46755;0;1090,704;0;1940,7416;0;1961,8709;0;-0,000113093;0
26;04.09.2020 11:10:06;-5,532;0;108,81236;0;109,46542;0;1090,7093;0;1940,7735;0;1961,8496;0;-0,000113412;0
